Time,Name,IP,Status,Latency_ms
2025-11-10 11:33:14,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:33:22,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 11:33:24,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:33:26,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:33:53,Shakti_2.4GHz,192.168.1.1,UP,5.0
2025-11-10 11:33:55,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:33:57,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:33:59,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:34:01,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:34:03,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:34:05,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:34:07,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:34:09,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:34:11,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:34:19,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 11:34:21,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:34:23,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:34:25,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:34:27,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:34:29,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:34:31,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:34:33,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:34:35,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:34:37,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:34:45,Shakti_2.4GHz,192.168.1.1,UP,16.0
2025-11-10 11:34:47,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:34:49,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:34:51,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:34:53,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:34:55,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:34:57,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:34:59,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:35:01,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:35:03,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:35:11,Shakti_2.4GHz,192.168.1.1,UP,5.0
2025-11-10 11:35:13,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:35:15,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:35:17,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:35:19,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:35:21,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:35:23,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:35:25,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:35:27,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:35:29,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:35:37,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 11:35:39,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:35:41,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:35:43,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:35:45,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:35:47,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:35:49,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:35:51,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:35:53,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:35:55,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:36:03,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 11:36:05,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:36:07,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:36:09,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:36:11,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:36:13,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:36:15,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:36:17,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:36:19,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:36:21,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:36:29,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 11:36:31,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:36:33,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:36:35,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:36:37,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:36:39,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:36:41,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:36:43,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:36:45,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:36:47,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:36:55,Shakti_2.4GHz,192.168.1.1,UP,41.0
2025-11-10 11:36:57,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:36:59,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:37:01,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:37:03,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:37:05,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:37:07,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:37:09,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:37:11,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:37:13,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:37:21,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 11:37:23,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:37:25,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:37:27,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:37:29,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:37:31,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:37:33,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:37:35,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:37:37,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:37:39,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:37:47,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 11:37:49,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:37:51,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:37:53,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:37:55,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:37:57,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:37:59,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:38:01,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:38:03,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 11:38:05,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 11:38:13,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 11:38:15,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 11:38:17,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 11:38:19,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 11:38:21,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 11:38:23,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 11:38:25,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 11:38:27,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 11:38:29,Airtel_Zerotouch,192.168.1.9,DOWN,
